,Coordinates
308,"(32.246864200000005, -95.19806259999991)"
309,"(32.246864200000005, -94.95282439999991)"
310,"(32.246864200000005, -94.70758619999991)"
311,"(32.246864200000005, -94.4623479999999)"
312,"(32.246864200000005, -102.8004468)"
313,"(32.246864200000005, -102.5552086)"
314,"(32.246864200000005, -102.3099704)"
315,"(32.246864200000005, -102.0647322)"
316,"(32.246864200000005, -101.81949399999999)"
317,"(32.246864200000005, -101.57425579999999)"
318,"(32.246864200000005, -101.32901759999999)"
319,"(32.246864200000005, -101.08377939999998)"
320,"(32.246864200000005, -100.83854119999998)"
321,"(32.246864200000005, -100.59330299999998)"
322,"(32.246864200000005, -100.34806479999997)"
323,"(32.246864200000005, -100.10282659999997)"
324,"(32.001626, -99.85758839999997)"
325,"(32.001626, -99.61235019999997)"
326,"(32.001626, -99.36711199999996)"
327,"(32.001626, -99.12187379999996)"
328,"(32.001626, -98.87663559999996)"
329,"(32.001626, -98.63139739999995)"
330,"(32.001626, -98.38615919999995)"
331,"(32.001626, -98.14092099999995)"
332,"(32.001626, -97.89568279999995)"
333,"(32.001626, -97.65044459999994)"
334,"(32.001626, -97.40520639999994)"
335,"(32.001626, -97.15996819999994)"
336,"(32.001626, -96.91472999999993)"
337,"(32.001626, -96.66949179999993)"
338,"(32.001626, -96.42425359999993)"
339,"(32.001626, -96.17901539999993)"
340,"(32.001626, -95.93377719999992)"
341,"(32.001626, -95.68853899999992)"
342,"(32.001626, -95.44330079999992)"
343,"(32.001626, -95.19806259999991)"
344,"(32.001626, -94.95282439999991)"
345,"(32.001626, -94.70758619999991)"
346,"(32.001626, -103.045685)"
347,"(32.001626, -102.8004468)"
348,"(32.001626, -102.5552086)"
349,"(32.001626, -102.3099704)"
350,"(32.001626, -102.0647322)"
351,"(32.001626, -101.81949399999999)"
352,"(32.001626, -101.57425579999999)"
353,"(32.001626, -101.32901759999999)"
354,"(32.001626, -101.08377939999998)"
355,"(32.001626, -100.83854119999998)"
356,"(32.001626, -100.59330299999998)"
357,"(32.001626, -100.34806479999997)"
358,"(32.001626, -100.10282659999997)"
359,"(31.91879339999999, -99.78234039999992)"
360,"(31.91879339999999, -99.53710219999992)"
361,"(31.91879339999999, -99.29186399999992)"
362,"(31.91879339999999, -99.04662579999992)"
363,"(31.91879339999999, -98.80138759999991)"
364,"(31.91879339999999, -98.55614939999991)"
365,"(31.91879339999999, -98.31091119999991)"
366,"(31.91879339999999, -98.0656729999999)"
367,"(31.91879339999999, -97.8204347999999)"
368,"(31.91879339999999, -97.5751965999999)"
369,"(31.91879339999999, -97.3299583999999)"
370,"(31.91879339999999, -97.0847201999999)"
371,"(31.91879339999999, -96.83948199999989)"
372,"(31.91879339999999, -96.59424379999989)"
373,"(31.91879339999999, -96.34900559999988)"
374,"(31.91879339999999, -96.10376739999988)"
375,"(31.91879339999999, -95.85852919999988)"
376,"(31.91879339999999, -95.61329099999988)"
377,"(31.91879339999999, -95.36805279999987)"
378,"(31.91879339999999, -95.12281459999987)"
379,"(31.91879339999999, -94.87757639999987)"
380,"(31.91879339999999, -103.70615159999997)"
381,"(31.91879339999999, -103.46091339999997)"
382,"(31.91879339999999, -103.21567519999996)"
383,"(31.91879339999999, -102.97043699999996)"
384,"(31.91879339999999, -102.72519879999996)"
385,"(31.91879339999999, -102.47996059999996)"
386,"(31.91879339999999, -102.23472239999995)"
387,"(31.91879339999999, -101.98948419999995)"
388,"(31.91879339999999, -101.74424599999995)"
389,"(31.91879339999999, -101.49900779999994)"
390,"(31.91879339999999, -101.25376959999994)"
391,"(31.91879339999999, -101.00853139999994)"
392,"(31.91879339999999, -100.76329319999994)"
393,"(31.91879339999999, -100.51805499999993)"
394,"(31.91879339999999, -100.27281679999993)"
395,"(31.91879339999999, -100.02757859999993)"
396,"(31.673555199999992, -99.78234039999992)"
397,"(31.673555199999992, -99.53710219999992)"
398,"(31.673555199999992, -99.29186399999992)"
399,"(31.673555199999992, -99.04662579999992)"
400,"(31.673555199999992, -98.80138759999991)"
401,"(31.673555199999992, -98.55614939999991)"
402,"(31.673555199999992, -98.31091119999991)"
403,"(31.673555199999992, -98.0656729999999)"
404,"(31.673555199999992, -97.8204347999999)"
405,"(31.673555199999992, -97.5751965999999)"
406,"(31.673555199999992, -97.3299583999999)"
407,"(31.673555199999992, -97.0847201999999)"
408,"(31.673555199999992, -96.83948199999989)"
409,"(31.673555199999992, -96.59424379999989)"
410,"(31.673555199999992, -96.34900559999988)"
411,"(31.673555199999992, -96.10376739999988)"
412,"(31.673555199999992, -95.85852919999988)"
413,"(31.673555199999992, -95.61329099999988)"
414,"(31.673555199999992, -95.36805279999987)"
415,"(31.673555199999992, -95.12281459999987)"
416,"(31.673555199999992, -94.87757639999987)"
417,"(31.673555199999992, -94.63233819999986)"
418,"(31.673555199999992, -104.93234259999998)"
419,"(31.673555199999992, -104.68710439999998)"
420,"(31.673555199999992, -104.19662799999998)"
421,"(31.673555199999992, -103.95138979999997)"
422,"(31.673555199999992, -103.70615159999997)"
423,"(31.673555199999992, -103.46091339999997)"
424,"(31.673555199999992, -103.21567519999996)"
425,"(31.673555199999992, -102.97043699999996)"
426,"(31.673555199999992, -102.72519879999996)"
427,"(31.673555199999992, -102.47996059999996)"
428,"(31.673555199999992, -102.23472239999995)"
429,"(31.673555199999992, -101.98948419999995)"
430,"(31.673555199999992, -101.74424599999995)"
431,"(31.673555199999992, -101.49900779999994)"
432,"(31.673555199999992, -101.25376959999994)"
433,"(31.673555199999992, -101.00853139999994)"
434,"(31.673555199999992, -100.76329319999994)"
